text,favorite_count,date_creation,retweet_count
"Easy swipe right/left to move between recommended vs followed tweets rolls out later this week.

First part of a much larger UI overhaul.

Bookmark button (de facto silent like) on Tweet details rolls out a week later.

Long form tweets early Feb.",70402,2023-01-08,6387
@WholeMarsBlog We have a real shot at late February.  March launch attempt appears highly likely.,9168,2023-01-08,731
@DavidSacks It will go lower,19697,2023-01-08,839
@PeterDiamandis Risky Business (great movie),6970,2023-01-08,382
@BillyM2k 🤣,9072,2023-01-08,260
@TheBabylonBee 🤣,12175,2023-01-07,434
@SamTwits @CommunityNotes,4325,2023-01-07,214
@TheRabbitHole84 👀,5769,2023-01-07,213
@NASASpaceflight It’s amazing to see them work in unison – so much has to go right for that to happen!,7210,2023-01-07,353
"@engineers_feed Lol no, Newton’s Third Law",58504,2023-01-07,2012
Plaid is sickkk https://t.co/OxBD8Zv7Xq,48219,2023-01-07,3215
@Jason The mind virus is strong in the Bay Area,45946,2023-01-07,2950
@mayemusk @CBSNews @Twitter The fake emerald mine thing is so annoying (sigh). Like where exactly is this thing anyway!?,20351,2023-01-07,1487
@WholeMarsBlog Looks like V11.3 will be ready for wide release in about 2 weeks. Many major improvements.,19925,2023-01-07,1341
@TrungTPhan !,2846,2023-01-07,135
@MuskUniversity Happy days tbh,24265,2023-01-07,808
@paulg True,5062,2023-01-07,228
Thread on how safe Tesla cars are https://t.co/M3Hf3q4kh3,40466,2023-01-07,4002
@paulg People on Twitter should like more tweets in general!,66736,2023-01-07,2175
@BillyM2k @KevinChunilal Nice,2712,2023-01-07,143
@WholeMarsBlog @ValerianIlies People still don’t get it,7922,2023-01-07,569
@_TheRealTony3_ @MercedesBenz @Tesla @SawyerMerritt Good for them,22139,2023-01-07,655
"@RichardGarriott Tanks are a deathtrap now. With neither side having air superiority, you’re left with infantry &amp; artillery – essentially WW1.",20643,2023-01-07,1190
@BillyM2k 🤣,56798,2023-01-07,1376
@TheRabbitHole84 An actual Jurassic Park would be awesome,15819,2023-01-06,732
(JCO was joking btw),63838,2023-01-06,1919
8 years later &amp; still no laws … 😢 https://t.co/9fjb24XvFG,379514,2023-01-06,28908
@TheBabylonBee 🤣,39059,2023-01-06,1210
@pmarca Twitter has at least 10 million Wokeys,40341,2023-01-06,2438
@hodgetwins Looking into it,47048,2023-01-06,1815
@laralogan This demands an explanation,11310,2023-01-06,1450
"@HowThingsWork_ The Drone Wars are already a big deal, but we ain’t seen nothing yet …",40772,2023-01-06,2226
"If I dig my grave deep enough, maybe it comes out other side of Earth 🤔",323361,2023-01-05,20262
@RenataKonkoly Great advice! 🤣🤣,7935,2023-01-05,299
Some habits are hard to break lol.  Maybe I should just get bulletproof shoes … https://t.co/8Ve7it6X0T,93006,2023-01-05,5886
@lrocket Hi Tom!,15401,2023-01-05,438
@Hitch_Slapping @DrJBhattacharya True,12588,2023-01-05,525
Ouch my feet!! https://t.co/4pqBY6rZDu,82281,2023-01-05,4636
@cb_doge @MrAndyNgo @josephmenn @ExplainThisBob Will do. He is a good bot.,4346,2023-01-05,235
@MrAndyNgo @josephmenn Joseph Menn is a contemptible liar. Twitter policy has always been to suspend accounts that clearly &amp; repeatedly incite violence.,25285,2023-01-05,2379
@jonastyle_ Journalists should do shots every time there is a negative article about me …,50975,2023-01-05,2550
Elon Musk should,130357,2023-01-05,10231
"Subtle, but I am beginning to suspect opinions differ on this matter …

If not McCarthy, then seriously who?",59251,2023-01-05,3623
@ChrisJBakke 🤣,6008,2023-01-05,155
Sped up trip there &amp; back again https://t.co/h9z4vt7kER,154849,2023-01-05,15944
@tomselliott 🤣🤣,12341,2023-01-05,499
"@heliobeltrao @Rconstantino @rothbard_brasil If it is ordered by the court, do we have any choice?",3643,2023-01-05,303
Kevin McCarthy should be Speaker,163420,2023-01-05,11786
@pmarca 🤦‍♂️,7411,2023-01-05,321
@MuskUniversity Necessary to make life multiplanetary,25577,2023-01-05,1504
@pmarca It’s a new world. Goodbye homework!,75856,2023-01-05,4214
@CathieDWood Wow,25700,2023-01-05,1036
"@Basti Public likes &amp; non-public likes (aka bookmarks) should both be included in like count. 

Bookmark button should be on main tweet view.",10339,2023-01-05,523
@GadSaad True.,35033,2023-01-05,1597
@mtaibbi Interesting,15196,2023-01-04,1171
@NASASpaceflight Seems like our image recognition needs some work! https://t.co/oaHQYku4Av,29707,2023-01-04,1119
@Liz_Wheeler Certainly worth further investigation,97004,2023-01-04,7147
"12 months ago, I was Person of the Year",721767,2023-01-04,43156
@ShellenbergerMD What has become of @60Minutes?,72166,2023-01-04,5745
@TheBabylonBee 🤣🤣,31304,2023-01-04,1055
Please comment on this matter https://t.co/Oip43FcVo2,52692,2023-01-04,7224
@DriveTeslaca @Tesla Good news,38473,2023-01-04,1334
"US govt agency demanded suspension of 250k accounts, including journalists &amp; Canadian officials! https://t.co/kcEMMCzF7d",147691,2023-01-03,43498
"@sparklingruby If you leave out contact information &amp; names of junior employees, then yes",18547,2023-01-03,1051
@jordanbpeterson @CPOntario Please live-stream this on Twitter Spaces,40839,2023-01-03,3169
@waitbutwhy Would be worth it to see the video lulz,10498,2023-01-03,435
https://t.co/dJvUeO2P5t,420048,2023-01-03,61261
"@mtaibbi Hey @RepAdamSchiff, what’s this?",67709,2023-01-03,14127
@MarioFratto @jordanbpeterson @CPOntario @PierrePoilievre @JustinTrudeau Sounds like it,11213,2023-01-03,627
Another episode of The Twitter Files https://t.co/vYpYivK7hv,106126,2023-01-03,22964
@jordanbpeterson That is extremely concerning!,52402,2023-01-03,3777
@ShellenbergerMD Ehrlich is mad as a hatter. He is someone who regards humanity as bad in and of itself – anti-human to the core.,15766,2023-01-03,2211
@teslaownersSV @DrKnowItAll16 @Tesla @POTUS @UAW Correct,5516,2023-01-03,365
@mikeduncan Feels like we are at an inflection point,19178,2023-01-03,996
@jordanbpeterson @CPOntario @PierrePoilievre @JustinTrudeau !!,44517,2023-01-03,2887
@farzyness Messed up!,43124,2023-01-03,1812
@SciGuySpace Shelby did his best to hold back SpaceX,5769,2023-01-03,442
@DrKnowItAll16 @Tesla Penalized for making our SUV too mass-efficient? That is bizarre.,57631,2023-01-03,2888
@BillyM2k maybe … maybe we do? 🤔,48589,2023-01-03,1792
@jgebbia But how do they earn a profit? Volume.,3439,2023-01-03,193
@JackPosobiec Looking into it,46636,2023-01-03,1958
@jgebbia Bank branches &amp; ATMs too,3625,2023-01-03,344
@ShellenbergerMD @ScottPelley @PaulREhrlich Absolutely,26583,2023-01-02,1530
@AlexEpstein @ScottAdamsSays @60Minutes @ShellenbergerMD @BjornLomborg @BrianGitt @HumanProgress @RitaPanahi @jordanbpeterson Ehrlich despises humanity. Nothing he says should be given the slightest credibility.,74937,2023-01-02,7838
@jordanbpeterson His “Population Bomb” book might the most damaging anti-human thing ever written,69303,2023-01-02,6749
@stillgray Mostly accurate tbh,63312,2023-01-02,2804
@libsoftiktok 🧐,35848,2023-01-02,1660
@pmarca 🤣🤣,38176,2023-01-02,1256
"@willdepue lol, but maybe",6228,2023-01-02,264
@gdb Yikes,11873,2023-01-01,441
@atensnut Later this week,48065,2023-01-01,4402
@TheRabbitHole84 Concerning,33713,2023-01-01,2084
@TomFitton @CDCgov The CDC?,29663,2023-01-01,2950
@catturd2 Hey!,87443,2023-01-01,2225
@stillgray Nice,17363,2023-01-01,524
